min.log.penalty, max.log.penalty
4.445348, inf
0.194679, 1.348278
0.651215, 1.571270
-inf, 4.803051
4.159725, 5.193034
1.521364, 2.364629
-0.063038, inf
0.662829, 1.414559
0.722918, 2.156680
3.462152, 4.457857
2.336935, 3.057001
0.163000, 0.827059
0.234305, inf
-inf, 3.024775
0.155647, 1.089959
1.685374, 2.625404
0.756016, 1.445690
3.774606, 4.766807
-inf, 1.557489
-inf, 4.242860
1.445611, 2.266047
2.816070, 3.794312
1.571944, 2.743396
1.064943, 2.011865
3.046874, 4.364849
3.446116, 4.642489
-inf, 1.914552
-inf, 5.261768
3.305452, 4.132318
1.532489, 2.169088
1.889420, 3.358742
3.828685, 5.162178
0.820455, 1.867049
-0.321907, 0.717508
1.803463, 2.718176
4.295763, 4.999198
2.584908, 3.190401
3.705381, inf
0.048406, 0.952499
1.817736, 2.437245
-0.232708, 0.594740
3.489738, 3.968526
3.655938, 4.358271
0.188823, 0.893390
0.709806, 1.587875
-0.350028, 0.572979
4.534464, inf
-0.187947, 0.606647
0.860776, 2.172610
1.078747, 2.226046
1.343311, 2.703956
3.597398, 4.379575
4.339411, 5.163144
2.942867, 3.604161
2.181363, 2.987833
-inf, 1.699646
3.113911, 4.267997
1.474935, 2.398450
-inf, 3.234333
1.132025, 2.070894
2.420209, 3.126253
4.627593, 5.494951
2.293276, 3.342938
-inf, 1.497511
1.790197, 2.945917
0.963447, 1.712927
-inf, 3.346713
3.618648, inf
2.208027, 3.233818
2.224752, 3.243198
-0.388595, 0.931332
2.816592, 3.748810
2.565673, inf
0.142441, 1.090853
-0.627770, 0.610574
3.363635, 4.089463
1.519189, 2.764771
-inf, 1.211613
0.929138, 1.672767
0.794833, 1.396442
4.636507, 5.445636
-inf, 5.708704
4.034992, 5.111332
1.744128, inf
4.214444, 4.855952
2.541632, inf
3.392643, 4.213566
3.634988, 4.415517
2.569613, 3.500034
3.830012, 4.898934
1.276011, 2.231835
3.594944, 4.321979
0.085295, 0.650430
-0.403243, inf
-inf, 0.977648
3.320662, inf
0.811703, 1.248169
-inf, 3.465191
1.307395, 2.137170
2.888908, 3.881780
0.483659, 1.213019
4.950480, 5.419470
0.870506, 1.918825
-0.017283, 0.492496
0.437399, 1.513932
1.671278, 2.679402
3.524157, 4.023575
0.443532, 1.702266
-0.043493, 0.753470
-inf, 2.338958
3.519285, 4.308077
3.036179, inf
-inf, 1.782495
1.663340, 2.633333
3.777534, 4.400265
0.421126, 1.818240
1.757310, 2.912480
4.297130, 5.070965
1.627366, 2.475141
2.125060, 3.043858
0.220784, 1.209267
0.230863, 0.816122
2.999863, inf
3.798813, 4.733273
0.078299, 0.779490
1.072254, 2.001477
0.672251, inf
4.204130, 5.006895
0.862631, 2.262401
0.781188, inf
2.060194, 2.627697
1.194974, inf
0.891989, 2.230956
1.933824, 2.407387
1.339961, 2.559135
2.936698, 4.180589
-inf, 3.237150
-0.440978, 0.740527
3.198796, 4.096077
3.169671, 4.305882
3.891087, 4.862383
4.558327, inf
4.007300, 4.368210
0.608567, inf
-0.034475, 0.710762
-inf, 4.817950
1.779957, 2.438093
2.942810, 3.678518
-inf, 3.029697
3.255340, 3.897987
-inf, 5.181688
3.880254, 4.702863
2.775032, 3.801442
1.161676, 2.355156
1.813210, 2.787120
2.217456, 3.060810
4.526785, 5.370890
0.238907, 0.986296
2.812084, 3.909539
1.740754, 2.721797
2.648271, 3.232423
1.596149, 2.675887
1.270963, 2.168798
2.590415, 3.627097
-inf, 2.700490
3.338652, 4.435201
0.573848, inf
1.250625, 2.208236
3.474335, 4.389266
0.862950, inf
0.850261, 1.891348
4.167164, 5.028815
1.055395, 1.969415
1.248871, inf
-inf, 3.734477
-0.605361, 0.582986
2.664627, 3.365546
-0.134797, 1.301112
2.440183, 3.246520
4.868761, 5.681852
1.230946, 1.975128
0.511912, 1.422928
3.555891, 5.078375
1.449661, inf
1.279343, 1.944087
3.877015, 4.558606
1.390638, 2.007870
0.132751, inf
4.359639, 5.241345
3.362325, 4.161153
-0.852841, 0.720283
4.110012, 5.167957
3.469930, 4.351109
3.703694, 4.718162
3.761338, 4.976406
1.642841, 2.591338
3.719548, 4.288618
2.238609, 3.370392
1.759283, 2.529862
1.647543, 2.106639
