min.log.penalty, max.log.penalty
0.969724, 1.952503
1.494407, 2.450086
-0.542209, 0.644728
-0.168483, 0.728971
0.910401, 1.672037
1.444269, 2.145064
0.366425, 1.211638
-inf, 1.384768
0.245995, 0.905522
0.149623, 0.646135
0.381120, 1.503437
0.862389, 1.565823
-0.084327, 1.298173
1.037415, inf
0.780044, 1.564352
-0.144540, 0.788407
0.149031, 1.040055
-inf, 2.729009
1.088788, inf
1.664088, inf
-inf, 0.929476
1.025333, inf
0.132352, 1.291882
-inf, 1.854570
1.723087, 2.521009
0.019956, 1.515510
-inf, 2.091405
0.276331, 1.402578
1.315886, 2.374060
0.436178, 1.021537
-inf, 1.556811
0.339822, 1.535290
1.129063, 1.898233
-inf, 2.099570
-inf, 2.302260
0.255488, 1.738095
1.146825, 2.103989
1.180427, 2.117230
0.635856, 1.365165
-0.583937, 0.182004
0.580952, 1.509357
0.606986, 1.605296
-0.542473, 0.088010
-0.301392, inf
-inf, 0.974725
0.814475, 1.871640
-inf, 0.750315
1.071097, 2.176356
0.870853, inf
-0.403190, 0.724866
-inf, 1.649835
-0.235053, 0.598673
0.679618, 1.315446
-0.063002, inf
-0.479813, 0.290029
0.238545, inf
0.208967, 0.916042
-0.140293, 0.593035
-0.623398, 0.437372
0.684125, 1.529474
1.232651, 2.121556
0.730103, 1.337103
1.055493, 1.656520
1.330350, 2.212286
0.796647, 2.100144
0.770475, 1.864234
-0.634659, 0.714331
0.400377, 1.522055
1.457846, inf
-0.424681, 0.328802
-inf, 1.499059
-inf, 0.722577
-0.456025, 0.497171
-0.435605, 0.506656
-0.217645, inf
-inf, 0.802460
0.371155, 1.350158
0.928447, 2.019324
1.034930, 1.868980
-0.329988, 0.806742
0.404318, 1.004674
0.777703, 1.714908
0.353615, 1.589875
-inf, 1.690234
1.108086, 2.023199
1.271436, 2.333218
1.549437, 2.545348
-0.594250, inf
-0.119139, 0.445880
-0.317607, 0.593819
-0.581103, inf
1.404482, 2.237241
-0.416171, 0.741658
-0.026775, 0.659608
1.357841, 2.188875
1.421244, 2.141315
0.723366, 1.478578
0.686297, 1.793983
1.512951, 2.227398
-inf, 1.993342
0.512490, inf
0.759911, 1.577730
0.826561, 1.464830
-0.161940, 0.662350
0.443051, 1.625808
-0.075027, inf
-0.230728, 1.428944
0.894414, 1.758532
0.649223, 1.693573
0.656498, 1.646584
0.531194, 1.484201
1.644945, 2.295307
-inf, 0.627644
0.133759, 1.012676
0.651473, 1.476589
-0.685714, -0.024997
0.519201, 1.432420
-inf, 1.304345
0.038442, 0.799514
0.367724, 1.144211
1.172798, 2.265659
1.052796, 1.696767
1.391645, 2.255097
-0.177539, 0.934548
0.578003, inf
0.042207, 0.757543
-0.042747, 1.214655
1.076040, 2.334856
-0.053680, 0.637658
1.073540, 2.430107
-inf, 1.970928
0.024692, 1.524444
1.221722, 1.956880
-0.406762, 0.897799
0.139186, 1.213526
0.138236, 1.383854
0.033967, inf
1.370953, 2.445291
-inf, 0.339926
-inf, 2.144841
1.116440, 2.013933
1.060952, 2.186202
0.824453, 1.617718
0.053137, 0.653401
0.382151, 1.467451
1.232261, 2.529242
-0.030858, 1.137344
0.965236, 2.037824
0.655614, 1.416498
0.689985, 1.488590
0.017955, 1.104875
0.426842, 1.433653
-0.138859, 0.555349
0.097907, inf
-0.009923, 1.321955
1.083826, 2.148145
0.250499, 0.921838
0.792129, 1.353805
-0.044841, 0.938843
0.355119, 1.692501
0.922621, inf
-inf, 2.492331
0.241747, 0.844283
0.814807, 2.024215
0.013145, 0.817628
1.327876, 2.264645
0.513512, 1.385759
-0.142523, 0.817575
0.082220, 0.889418
0.881673, 1.858039
0.044267, 1.159214
-inf, 1.398048
0.706467, 1.908610
0.341038, 1.089817
-inf, 0.714202
1.044025, 1.976372
0.899047, 2.445207
-0.394748, 0.420023
0.647628, 2.063430
-0.449802, 0.330981
-inf, 1.584075
1.771194, 2.418598
-0.377080, 0.733760
0.350673, inf
0.401680, 1.106335
-inf, 1.978078
-0.109323, 0.655704
1.228739, inf
1.167426, 2.092334
0.041985, 1.069758
0.596130, inf
1.190560, 2.235818
0.182644, 1.317255
-0.066413, 0.623811
0.171392, 1.204217
-0.324881, 0.594803
1.624960, inf
0.567893, 1.942817
1.099381, 1.918086
0.703388, 1.509650
